ID1,ID2,Score,Match_Type
R003,R005,100,DUPLICATE
R003,R006,100,DUPLICATE
R003,R007,100,DUPLICATE
R003,R008,57,DIFFERENT
R003,R009,57,DIFFERENT
R003,R010,57,DIFFERENT
R003,R011,57,DIFFERENT
R003,R012,57,DIFFERENT
R003,R013,58,DIFFERENT
R003,R014,57,DIFFERENT
R003,R015,66,DIFFERENT
R003,R016,66,DIFFERENT
R003,R017,66,DIFFERENT
R003,R018,66,DIFFERENT
R003,R019,66,DIFFERENT
R003,R020,66,DIFFERENT
R003,R021,66,DIFFERENT
R003,R022,36,DIFFERENT
R003,R023,37,DIFFERENT
R003,R024,36,DIFFERENT
R003,R025,36,DIFFERENT
R003,R026,33,DIFFERENT
R003,R027,36,DIFFERENT
R003,R028,36,DIFFERENT
R003,R029,41,DIFFERENT
R003,R030,40,DIFFERENT
R003,R031,40,DIFFERENT
R003,R032,40,DIFFERENT
R003,R033,40,DIFFERENT
R003,R034,40,DIFFERENT
R003,R035,40,DIFFERENT
R003,R036,23,DIFFERENT
R003,R037,23,DIFFERENT
R003,R038,28,DIFFERENT
R003,R039,23,DIFFERENT
R003,R040,23,DIFFERENT
R003,R041,23,DIFFERENT
R003,R042,23,DIFFERENT
R003,R043,46,DIFFERENT
R003,R044,43,DIFFERENT
R003,R045,46,DIFFERENT
R003,R046,46,DIFFERENT
R003,R047,46,DIFFERENT
R003,R048,46,DIFFERENT
R003,R049,46,DIFFERENT
R003,R050,42,DIFFERENT
R003,R051,42,DIFFERENT
R003,R052,42,DIFFERENT
R003,R053,42,DIFFERENT
R003,R054,42,DIFFERENT
R003,R055,42,DIFFERENT
R003,R056,42,DIFFERENT
R003,R057,70,DIFFERENT
R003,R058,70,DIFFERENT
R003,R059,70,DIFFERENT
R003,R060,70,DIFFERENT
R003,R061,61,DIFFERENT
R003,R062,70,DIFFERENT
R003,R063,70,DIFFERENT
R003,R064,57,DIFFERENT
R003,R065,57,DIFFERENT
R003,R066,57,DIFFERENT
R003,R067,57,DIFFERENT
R003,R068,57,DIFFERENT
R003,R069,57,DIFFERENT
R003,R070,57,DIFFERENT
R003,R071,49,DIFFERENT
R003,R072,49,DIFFERENT
R003,R073,49,DIFFERENT
R003,R074,49,DIFFERENT
R003,R075,49,DIFFERENT
R003,R076,50,DIFFERENT
R003,R077,49,DIFFERENT
R003,R078,48,DIFFERENT
R003,R079,49,DIFFERENT
R003,R080,48,DIFFERENT
R003,R081,48,DIFFERENT
R003,R082,49,DIFFERENT
R003,R083,49,DIFFERENT
R003,R084,48,DIFFERENT
R003,R085,33,DIFFERENT
R003,R086,33,DIFFERENT
R003,R087,33,DIFFERENT
R003,R088,33,DIFFERENT
R003,R089,33,DIFFERENT
R003,R090,33,DIFFERENT
R003,R091,33,DIFFERENT
R003,R092,50,DIFFERENT
R003,R093,50,DIFFERENT
R003,R094,50,DIFFERENT
R003,R095,51,DIFFERENT
R003,R096,50,DIFFERENT
R003,R097,50,DIFFERENT
R003,R098,51,DIFFERENT
R003,R099,52,DIFFERENT
R003,R100,52,DIFFERENT
R004,R005,99,DUPLICATE
R004,R006,99,DUPLICATE
R004,R007,99,DUPLICATE
R004,R008,54,DIFFERENT
R004,R009,54,DIFFERENT
R004,R010,54,DIFFERENT
R004,R011,54,DIFFERENT
R004,R012,54,DIFFERENT
R004,R013,55,DIFFERENT
R004,R014,54,DIFFERENT
R004,R015,64,DIFFERENT
R004,R016,64,DIFFERENT
R004,R017,64,DIFFERENT
R004,R018,64,DIFFERENT
R004,R019,64,DIFFERENT
R004,R020,64,DIFFERENT
R004,R021,64,DIFFERENT
R004,R022,33,DIFFERENT
R004,R023,34,DIFFERENT
R004,R024,33,DIFFERENT
R004,R025,33,DIFFERENT
R004,R026,34,DIFFERENT
R004,R027,33,DIFFERENT
R004,R028,33,DIFFERENT
R004,R029,42,DIFFERENT
R004,R030,41,DIFFERENT
R004,R031,41,DIFFERENT
R004,R032,41,DIFFERENT
R004,R033,41,DIFFERENT
R004,R034,41,DIFFERENT
R004,R035,41,DIFFERENT
R004,R036,23,DIFFERENT
R004,R037,23,DIFFERENT
R004,R038,29,DIFFERENT
R004,R039,23,DIFFERENT
R004,R040,24,DIFFERENT
R004,R041,23,DIFFERENT
R004,R042,23,DIFFERENT
R004,R043,43,DIFFERENT
R004,R044,41,DIFFERENT
R004,R045,43,DIFFERENT
R004,R046,43,DIFFERENT
R004,R047,43,DIFFERENT
R004,R048,43,DIFFERENT
R004,R049,43,DIFFERENT
R004,R050,42,DIFFERENT
R004,R051,42,DIFFERENT
R004,R052,42,DIFFERENT
R004,R053,42,DIFFERENT
R004,R054,42,DIFFERENT
R004,R055,42,DIFFERENT
R004,R056,42,DIFFERENT
R004,R057,61,DIFFERENT
R004,R058,61,DIFFERENT
R004,R059,61,DIFFERENT
R004,R060,61,DIFFERENT
R004,R061,58,DIFFERENT
R004,R062,61,DIFFERENT
R004,R063,61,DIFFERENT
R004,R064,55,DIFFERENT
R004,R065,55,DIFFERENT
R004,R066,55,DIFFERENT
R004,R067,55,DIFFERENT
R004,R068,55,DIFFERENT
R004,R069,55,DIFFERENT
R004,R070,55,DIFFERENT
R004,R071,50,DIFFERENT
R004,R072,50,DIFFERENT
R004,R073,50,DIFFERENT
R004,R074,50,DIFFERENT
R004,R075,50,DIFFERENT
R004,R076,51,DIFFERENT
R004,R077,50,DIFFERENT
R004,R078,49,DIFFERENT
R004,R079,50,DIFFERENT
R004,R080,49,DIFFERENT
R004,R081,49,DIFFERENT
R004,R082,50,DIFFERENT
R004,R083,50,DIFFERENT
R004,R084,49,DIFFERENT
R004,R085,33,DIFFERENT
R004,R086,33,DIFFERENT
R004,R087,33,DIFFERENT
R004,R088,33,DIFFERENT
R004,R089,34,DIFFERENT
R004,R090,33,DIFFERENT
R004,R091,33,DIFFERENT
R004,R092,48,DIFFERENT
R004,R093,48,DIFFERENT
R004,R094,48,DIFFERENT
R004,R095,48,DIFFERENT
R004,R096,48,DIFFERENT
R004,R097,48,DIFFERENT
R004,R098,48,DIFFERENT
R004,R099,53,DIFFERENT
R004,R100,52,DIFFERENT
R005,R006,100,DUPLICATE
R005,R007,100,DUPLICATE
R005,R008,57,DIFFERENT
R005,R009,57,DIFFERENT
R005,R010,57,DIFFERENT
R005,R011,57,DIFFERENT
R005,R012,57,DIFFERENT
R005,R013,58,DIFFERENT
R005,R014,57,DIFFERENT
R005,R015,66,DIFFERENT
R005,R016,66,DIFFERENT
R005,R017,66,DIFFERENT
R005,R018,66,DIFFERENT
R005,R019,66,DIFFERENT
R005,R020,66,DIFFERENT
R005,R021,66,DIFFERENT
R005,R022,36,DIFFERENT
R005,R023,37,DIFFERENT
R005,R024,36,DIFFERENT
R005,R025,36,DIFFERENT
R005,R026,33,DIFFERENT
R005,R027,36,DIFFERENT
R005,R028,36,DIFFERENT
R005,R029,41,DIFFERENT
R005,R030,40,DIFFERENT
R005,R031,40,DIFFERENT
R005,R032,40,DIFFERENT
R005,R033,40,DIFFERENT
R005,R034,40,DIFFERENT
R005,R035,40,DIFFERENT
R005,R036,23,DIFFERENT
R005,R037,23,DIFFERENT
R005,R038,28,DIFFERENT
R005,R039,23,DIFFERENT
R005,R040,23,DIFFERENT
R005,R041,23,DIFFERENT
R005,R042,23,DIFFERENT
R005,R043,46,DIFFERENT
R005,R044,43,DIFFERENT
R005,R045,46,DIFFERENT
R005,R046,46,DIFFERENT
R005,R047,46,DIFFERENT
R005,R048,46,DIFFERENT
R005,R049,46,DIFFERENT
R005,R050,42,DIFFERENT
R005,R051,42,DIFFERENT
R005,R052,42,DIFFERENT
R005,R053,42,DIFFERENT
R005,R054,42,DIFFERENT
R005,R055,42,DIFFERENT
R005,R056,42,DIFFERENT
R005,R057,70,DIFFERENT
R005,R058,70,DIFFERENT
R005,R059,70,DIFFERENT
R005,R060,70,DIFFERENT
R005,R061,61,DIFFERENT
R005,R062,70,DIFFERENT
R005,R063,70,DIFFERENT
R005,R064,57,DIFFERENT
R005,R065,57,DIFFERENT
R005,R066,57,DIFFERENT
R005,R067,57,DIFFERENT
R005,R068,57,DIFFERENT
R005,R069,57,DIFFERENT
R005,R070,57,DIFFERENT
R005,R071,49,DIFFERENT
R005,R072,49,DIFFERENT
R005,R073,49,DIFFERENT
R005,R074,49,DIFFERENT
R005,R075,49,DIFFERENT
R005,R076,50,DIFFERENT
R005,R077,49,DIFFERENT
R005,R078,48,DIFFERENT
R005,R079,49,DIFFERENT
R005,R080,48,DIFFERENT
R005,R081,48,DIFFERENT
R005,R082,49,DIFFERENT
R005,R083,49,DIFFERENT
R005,R084,48,DIFFERENT
R005,R085,33,DIFFERENT
R005,R086,33,DIFFERENT
R005,R087,33,DIFFERENT
R005,R088,33,DIFFERENT
R005,R089,33,DIFFERENT
R005,R090,33,DIFFERENT
R005,R091,33,DIFFERENT
R005,R092,50,DIFFERENT
R005,R093,50,DIFFERENT
R005,R094,50,DIFFERENT
R005,R095,51,DIFFERENT
R005,R096,50,DIFFERENT
R005,R097,50,DIFFERENT
R005,R098,51,DIFFERENT
R005,R099,52,DIFFERENT
R005,R100,52,DIFFERENT
R006,R007,100,DUPLICATE
